Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,689.1089,14.6972,14.5053,0.1919,27.1308,0.8680,0.8680,0.0000,40.3347,6.9199,14.6801,689.1089,NA,33.3397,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,703.8061,9.0856,8.8842,0.2014,13.3016,12.2085,12.1958,0.0127,32.5574,27.8286,7.7773,703.8061,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,712.8917,27.7672,27.6078,0.1594,16.4415,32.9643,25.1206,7.8437,51.3004,13.8950,-18.7430,712.8917,NA,31.1333,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,740.6589,7.2266,7.0777,0.1489,21.6963,14.9585,14.9585,0.0000,37.4282,13.9401,13.8722,740.6589,NA,33.0238,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,747.8855,8.8357,8.6827,0.1530,29.5581,11.8454,11.8454,0.0000,44.1417,6.9502,-6.7135,747.8855,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,756.7212,22.5664,22.3598,0.2066,32.5678,2.2090,2.1685,0.0405,42.2562,6.9016,1.8855,756.7212,NA,26.8996,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,779.2876,11.5317,11.3377,0.1940,12.2656,13.4266,13.3772,0.0494,26.5914,13.9122,15.6648,779.2876,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,790.8193,16.0054,15.6958,0.3096,14.2904,14.2178,14.1077,0.1101,28.9719,27.8118,-2.3805,790.8193,NA,15.7236,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,806.8247,12.8977,12.7038,0.1939,12.5622,22.9017,22.8811,0.0206,40.7783,6.9942,-11.8064,806.8247,NA,30.5010,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,819.7224,8.3252,8.0791,0.2461,22.5662,11.5253,11.5064,0.0189,34.8748,13.8658,5.9035,819.7224,NA,30.5405,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,828.0476,15.2279,15.0504,0.1775,25.7663,9.6692,9.5403,0.1289,40.4154,20.8722,-5.5406,828.0476,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,843.2755,22.6524,22.4908,0.1616,21.7989,22.9635,22.9223,0.0412,46.0597,6.9320,-5.6443,843.2755,NA,27.2640,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,865.9279,10.4156,10.1838,0.2318,22.1732,0.3416,0.3293,0.0123,30.3393,20.8209,15.7204,865.9279,NA,24.1819,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,876.3435,8.8288,8.6817,0.1471,12.1279,27.6194,27.6194,0.0000,40.7446,13.9219,-10.4053,876.3435,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,885.1723,19.1327,18.9432,0.1895,30.9185,13.0477,13.0477,0.0000,45.8377,13.9047,-5.0931,885.1723,NA,45.9056,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,904.3050,6.5056,6.2782,0.2274,24.9011,13.5022,13.4878,0.0144,40.6097,13.9334,5.2280,904.3050,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,910.8106,18.0196,17.8429,0.1767,31.8977,13.7295,13.7295,0.0000,48.0375,13.8728,-7.4278,910.8106,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,928.8302,15.2901,15.1116,0.1785,27.6839,12.5656,12.5656,0.0000,43.8907,13.9401,4.1468,928.8302,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,944.1203,13.7941,13.5878,0.2063,24.9594,11.2864,11.2233,0.0631,42.5407,6.8742,1.3500,944.1203,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,957.9144,8.9535,8.8281,0.1254,22.4517,5.5604,5.5087,0.0517,35.6208,6.9754,6.9199,957.9144,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,966.8679,18.9318,18.7833,0.1485,19.1054,13.7280,13.6622,0.0658,33.6427,13.9192,1.9781,966.8679,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,985.7997,13.1703,12.9848,0.1855,13.9016,13.9739,13.9102,0.0637,28.6301,27.7991,5.0126,985.7997,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,998.9700,7.0776,6.9197,0.1579,14.7052,22.7267,22.7267,0.0000,43.2589,6.9794,-14.6288,998.9700,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1006.0476,11.7937,11.6318,0.1619,30.3543,12.3095,12.3095,0.0000,43.1607,6.9189,0.0982,1006.0476,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1017.8413,5.9897,5.8399,0.1498,30.8701,0.3241,0.2554,0.0687,38.2859,27.8177,4.8748,1017.8413,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1023.8310,32.5594,32.3846,0.1748,25.2246,31.8246,27.5386,4.2860,60.1139,13.9935,-21.8280,1023.8310,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1056.3904,7.7676,7.5773,0.1903,24.4898,13.8307,13.7936,0.0371,41.5480,6.8504,18.5659,1056.3904,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1064.1580,6.1564,5.9962,0.1602,30.5529,3.6644,3.6004,0.0640,40.6308,13.9033,0.9172,1064.1580,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1070.3144,31.3432,31.1571,0.1861,30.5401,11.0215,10.8844,0.1371,48.3777,20.8224,-7.7469,1070.3144,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1101.6576,11.5304,11.3925,0.1379,10.2899,27.2518,27.2518,0.0000,37.8569,13.9619,10.5208,1101.6576,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1113.1880,9.3249,9.1693,0.1556,26.0750,13.8241,13.7808,0.0433,40.2884,6.8919,-2.4315,1113.1880,NA,34.3671,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1122.5129,9.2186,9.0738,0.1448,30.5742,4.4332,4.3223,0.1109,37.8554,20.8882,2.4330,1122.5129,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1131.7315,26.4166,26.2403,0.1763,25.7888,23.0999,23.0822,0.0177,49.5250,6.9381,-11.6696,1131.7315,NA,26.1480,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1158.1481,11.8330,11.6526,0.1804,22.5404,6.5463,6.5109,0.0354,30.0465,13.9102,19.4785,1158.1481,NA,20.1341,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1169.9811,17.8574,17.6732,0.1842,17.2537,13.9996,13.9348,0.0648,32.1237,34.7347,-2.0772,1169.9811,NA,16.9920,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1187.8385,20.8324,20.6879,0.1445,20.1712,24.5137,24.4423,0.0714,49.0010,13.9613,-16.8773,1187.8385,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1208.6709,8.5926,8.4508,0.1418,23.8525,11.6714,11.6520,0.0194,42.1299,6.9152,6.8711,1208.6709,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1217.2635,7.2408,7.0931,0.1477,27.0278,3.3488,3.3488,0.0000,40.4525,6.9305,1.6774,1217.2635,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1224.5043,26.1467,25.9973,0.1494,25.1438,11.7058,11.5465,0.1593,40.1422,27.8233,0.3103,1224.5043,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1250.6510,12.4971,12.3112,0.1859,10.7684,24.5978,24.5978,0.0000,41.8188,6.9914,-1.6766,1250.6510,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1263.1481,6.8472,6.6792,0.1680,22.8691,11.7405,11.7405,0.0000,36.3131,6.9073,5.5057,1263.1481,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1269.9953,8.3553,8.2156,0.1397,27.7624,7.5635,7.4793,0.0842,36.3732,27.8092,-0.0601,1269.9953,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1278.3506,30.4088,30.2267,0.1821,29.4014,25.0207,24.9804,0.0403,55.8271,13.9009,-19.4539,1278.3506,NA,38.0853,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1308.7594,9.2955,9.1470,0.1485,24.0133,11.6061,11.5774,0.0287,39.3192,13.9076,16.5079,1308.7594,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1318.0549,8.4489,8.2887,0.1602,26.3239,13.2732,13.2732,0.0000,43.9313,13.9274,-4.6121,1318.0549,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1326.5038,21.4571,21.2621,0.1950,31.1482,15.9920,15.9770,0.0150,49.4098,6.9250,-5.4785,1326.5038,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1347.9609,12.5175,12.3510,0.1665,25.6831,3.8466,3.7372,0.1094,34.8777,20.8331,14.5321,1347.9609,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1360.4784,14.9082,14.6606,0.2476,17.1743,22.3434,22.3434,0.0000,43.1933,13.9774,-8.3156,1360.4784,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1375.3866,12.1167,11.9550,0.1617,24.6095,14.1114,14.1114,0.0000,42.2625,6.8921,0.9308,1375.3866,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1387.5033,9.3905,9.2160,0.1745,26.6042,0.7944,0.7211,0.0733,37.0379,20.8240,5.2246,1387.5033,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1396.8938,21.0719,20.8321,0.2398,18.0351,25.7348,25.7348,0.0000,48.4714,13.9371,-11.4335,1396.8938,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1417.9657,9.8837,9.7112,0.1725,22.6980,15.0717,15.0717,0.0000,41.3366,6.9290,7.1348,1417.9657,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1427.8494,9.4491,9.2981,0.1510,27.8860,0.6625,0.6264,0.0361,38.3819,27.7903,2.9547,1427.8494,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1437.2985,27.2413,27.0811,0.1602,26.5319,23.6390,23.6045,0.0345,56.7231,13.9522,-18.3412,1437.2985,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1464.5398,9.1936,8.9781,0.2155,22.9296,13.5642,13.5405,0.0237,43.4340,6.9285,13.2891,1464.5398,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1473.7334,6.5256,6.3677,0.1579,27.3002,3.7657,3.7003,0.0654,41.1689,6.9539,2.2651,1473.7334,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1480.2590,26.6032,26.3876,0.2156,25.8044,11.4843,11.4311,0.0532,41.5972,20.8232,-0.4283,1480.2590,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1506.8622,13.5906,13.3555,0.2351,10.8682,24.7627,24.7076,0.0551,35.8172,20.8850,5.7800,1506.8622,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1520.4528,8.9153,8.6504,0.2649,22.1612,16.2603,16.2022,0.0581,43.1116,13.9076,-7.2944,1520.4528,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1529.3681,7.3521,7.1673,0.1848,29.5888,12.0558,12.0558,0.0000,48.1039,6.9394,-4.9923,1529.3681,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1536.7202,19.2930,19.1110,0.1820,34.2925,2.6747,2.6747,0.0000,47.6912,20.8686,0.4127,1536.7202,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1556.0132,20.1244,19.9456,0.1788,19.0266,24.1032,24.0387,0.0645,49.2668,6.9659,-1.5756,1556.0132,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1576.1376,11.1096,10.9508,0.1588,23.0054,12.2322,12.2322,0.0000,36.1083,6.9617,13.1585,1576.1376,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1587.2472,7.7917,7.6416,0.1501,24.1280,2.9796,2.9796,0.0000,31.9604,27.7951,4.1479,1587.2472,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1595.0389,23.7510,23.5633,0.1877,19.3159,25.9839,25.1636,0.8203,51.9638,13.9319,-20.0034,1595.0389,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1618.7899,8.5505,8.3232,0.2273,21.6332,15.8190,15.8190,0.0000,42.1447,6.8916,9.8191,1618.7899,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1627.3404,10.2441,10.0450,0.1991,28.9017,0.5447,0.4617,0.0830,40.4858,6.9960,1.6589,1627.3404,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,1637.5845,22.9229,22.7425,0.1804,21.7199,13.5139,13.3735,0.1404,37.2377,27.7400,3.2481,1637.5845,NA,NA,NA
